iter	Passed	Remaining
456	833	989
457	836	989
458	837	987
459	839	985
460	840	983
461	842	980
462	843	978
463	845	976
464	846	974
465	848	972
466	849	969
467	852	969
468	854	967
469	855	965
470	857	963
471	859	960
472	860	958
473	862	956
474	863	954
475	865	952
476	868	952
477	869	949
478	871	947
479	873	946
480	874	944
481	876	941
482	877	939
483	879	937
484	880	935
485	882	933
486	885	932
487	887	931
488	890	930
489	891	928
490	893	925
491	894	923
492	896	921
493	897	919
494	900	919
495	902	916
496	904	915
497	905	913
498	907	911
499	908	908
500	910	906
501	912	904
502	913	902
503	916	902
504	918	900
505	919	897
506	921	895
507	922	893
508	924	891
509	925	889
510	927	887
511	928	885
512	931	884
513	933	882
514	934	880
515	936	878
516	937	876
517	939	874
518	941	872
519	942	870
520	944	868
521	945	866
522	949	865
523	950	863
524	952	861
525	953	859
526	955	857
527	956	855
528	958	853
529	959	851
530	961	849
531	964	848
532	966	846
533	967	844
534	969	842
535	970	840
536	972	838
537	973	836
538	975	834
539	976	831
540	977	829
541	981	829
542	983	827
543	986	826
544	987	824
545	988	822
546	990	820
547	991	817
548	992	815
549	994	813
550	997	812
551	998	810
552	999	808
553	1000	805
554	1001	803
555	1003	801
556	1004	799
557	1005	796
558	1007	794
559	1008	792
560	1009	790
561	1012	789
562	1014	787
563	1015	785
564	1016	782
565	1018	780
566	1019	778
567	1020	776
568	1022	774
569	1023	772
570	1024	769
571	1026	768
572	1028	766
573	1029	764
574	1031	762
575	1032	760
576	1033	757
577	1035	755
578	1036	753
579	1037	751
580	1039	749
581	1040	747
582	1043	746
583	1045	744
584	1046	742
585	1047	740
586	1049	738
587	1050	736
588	1052	734
589	1053	732
590	1054	729
591	1056	727
592	1057	726
593	1060	724
594	1061	722
595	1062	720
596	1064	718
597	1065	716
598	1067	714
599	1068	712
600	1069	710
601	1071	708
602	1072	706
603	1075	704
604	1076	703
605	1078	701
606	1080	699
607	1082	697
608	1083	695
609	1085	693
610	1086	691
611	1088	689
612	1090	688
613	1092	686
614	1093	684
615	1094	682
616	1096	680
617	1097	678
618	1098	676
619	1100	674
620	1101	672
621	1102	670
622	1103	667
623	1105	665
624	1107	664
625	1109	662
626	1110	660
627	1111	658
628	1112	656
629	1114	654
630	1115	652
631	1116	650
632	1118	648
633	1119	646
634	1120	644
635	1123	643
636	1125	641
637	1126	639
638	1127	637
639	1129	635
640	1130	633
641	1131	631
642	1132	628
643	1134	626
644	1135	624
645	1136	622
646	1140	622
647	1141	620
648	1142	618
649	1144	616
650	1145	614
651	1146	612
652	1148	610
653	1149	608
654	1150	606
655	1152	604
656	1154	602
657	1155	600
658	1157	598
659	1158	596
660	1160	594
661	1161	593
662	1162	591
663	1164	589
664	1165	587
665	1166	585
666	1168	583
667	1169	581
668	1172	579
669	1174	578
670	1176	576
671	1178	575
672	1179	573
673	1180	571
674	1182	569
675	1183	567
676	1185	565
677	1187	563
678	1188	561
679	1190	560
680	1191	558
681	1192	556
682	1194	554
683	1195	552
684	1196	550
685	1198	548
686	1199	546
687	1202	545
688	1204	543
689	1205	541
690	1206	539
691	1207	537
692	1209	535
693	1210	533
694	1211	531
695	1213	529
696	1214	528
697	1215	526
698	1218	524
699	1220	522
700	1221	520
701	1222	519
702	1223	517
703	1225	515
704	1226	513
705	1228	511
706	1229	509
707	1230	507
708	1234	506
709	1235	504
710	1237	503
711	1239	501
712	1241	499
713	1242	497
714	1244	496
715	1246	494
716	1247	492
717	1250	491
718	1254	490
719	1259	489
720	1261	488
721	1263	486
722	1265	485
723	1268	483
724	1270	481
725	1272	480
726	1274	478
727	1275	476
728	1277	474
729	1278	472
730	1279	470
731	1282	469
732	1284	467
733	1285	465
734	1286	463
735	1288	462
736	1289	460
737	1291	458
738	1292	456
739	1293	454
740	1295	452
741	1296	450
742	1299	449
743	1300	447
744	1302	445
745	1303	443
746	1304	441
747	1306	440
748	1307	438
749	1308	436
750	1310	434
751	1311	432
752	1313	430
753	1315	429
754	1316	427
755	1318	425
756	1319	423
757	1320	421
758	1322	419
759	1323	417
760	1324	416
761	1326	414
762	1327	412
763	1330	410
764	1331	409
765	1333	407
766	1334	405
767	1335	403
768	1337	401
769	1338	399
770	1339	397
771	1341	396
772	1342	394
773	1343	392
774	1347	391
775	1348	389
776	1350	387
777	1351	385
778	1353	383
779	1354	382
780	1355	380
781	1357	378
782	1358	376
783	1359	374
784	1362	373
785	1364	371
786	1366	369
787	1368	368
788	1369	366
789	1371	364
790	1372	362
791	1373	360
792	1375	358
793	1377	357
794	1379	355
795	1380	353
796	1382	352
797	1383	350
798	1384	348
799	1385	346
800	1387	344
801	1388	342
802	1389	340
803	1391	339
804	1394	337
805	1396	336
806	1397	334
807	1398	332
808	1400	330
809	1401	328
810	1402	326
811	1404	325
812	1405	323
813	1406	321
814	1408	319
815	1410	318
816	1412	316
817	1413	314
818	1414	312
819	1416	310
820	1417	309
821	1419	307
822	1420	305
823	1421	303
824	1423	301
825	1425	300
826	1427	298
827	1428	296
828	1430	294
829	1431	293
830	1432	291
831	1434	289
832	1435	287
833	1436	286
834	1438	284
835	1439	282
836	1442	280
837	1444	279
838	1445	277
839	1446	275
840	1448	273
841	1449	272
842	1451	270
843	1452	268
844	1453	266
845	1455	264
846	1458	263
847	1460	261
848	1461	259
849	1463	258
850	1464	256
851	1465	254
852	1467	252
853	1468	251
854	1469	249
855	1471	247
856	1474	245
857	1475	244
858	1477	242
859	1478	240
860	1479	238
861	1481	237
862	1482	235
863	1483	233
864	1485	231
865	1486	230
866	1487	228
867	1490	226
868	1492	224
869	1493	223
870	1495	221
871	1496	219
872	1498	217
873	1499	216
874	1501	214
875	1502	212
876	1504	211
877	1506	209
878	1507	207
879	1509	205
880	1510	204
881	1512	202
882	1513	200
883	1515	198
884	1516	197
885	1517	195
886	1518	193
887	1521	191
888	1522	190
889	1524	188
890	1525	186
891	1527	184
892	1528	183
893	1529	181
894	1530	179
895	1532	177
896	1533	176
897	1534	174
898	1537	172
899	1539	171
900	1540	169
901	1542	167
902	1543	165
903	1544	164
904	1546	162
905	1547	160
906	1548	158
907	1549	157
908	1550	155
909	1553	153
910	1555	151
911	1556	150
912	1558	148
913	1560	146
914	1561	145
915	1562	143
916	1564	141
917	1565	139
918	1566	138
919	1569	136
920	1570	134
921	1572	133
922	1573	131
923	1586	130
924	1589	128
925	1590	127
926	1592	125
927	1594	123
928	1595	121
929	1596	120
930	1598	118
931	1599	116
932	1602	115
933	1604	113
934	1605	111
935	1606	109
936	1607	108
937	1608	106
938	1610	104
939	1612	102
940	1614	101
941	1616	99
942	1618	97
943	1619	96
944	1621	94
945	1622	92
946	1623	90
947	1624	89
948	1626	87
949	1627	85
950	1628	83
951	1630	82
952	1631	80
953	1634	78
954	1635	77
955	1636	75
956	1638	73
957	1639	71
958	1640	70
959	1641	68
960	1643	66
961	1644	64
962	1645	63
963	1647	61
964	1650	59
965	1651	58
966	1653	56
967	1654	54
968	1656	52
969	1657	51
970	1659	49
971	1660	47
972	1661	46
973	1662	44
974	1665	42
975	1666	40
976	1667	39
977	1669	37
978	1670	35
979	1671	34
980	1673	32
981	1674	30
982	1675	28
983	1676	27
984	1678	25
985	1680	23
986	1681	22
987	1683	20
988	1684	18
989	1685	17
990	1687	15
991	1688	13
992	1689	11
993	1691	10
994	1692	8
995	1694	6
996	1695	5
997	1697	3
998	1699	1
999	1700	0
